ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1965077-20200616,2726151,342511,1,JAMIR INC.,SOUTH LOOP MARKET,1720 S MICHIGAN AVE 1ST 115,CHICAGO,IL,60616,3,40,3-40,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,1965077,RENEW,,04/15/2020,06/05/2020,N,06/16/2020,06/15/2022,06/05/2020,06/08/2020,AAI,,,41.858437772,-87.624093415,POINT (-87.6240934145977 41.858437772179165)
2428967-20200616,2727115,401768,1,"LAWNDALE FOOD WINE & SPIRITS, INC.",LYON'S BEVERAGE DEPOT,3949 W OGDEN AVE,CHICAGO,IL,60623,22,7,22-7,10,1474,Package Goods,774,Retail Sales of Packaged Liquor,2428967,RENEW,,04/15/2020,05/13/2020,N,06/16/2020,06/15/2022,05/13/2020,01/25/2021,AAI,,,41.851163379,-87.724173345,POINT (-87.72417334475008 41.85116337917767)
1577540-20200616,2725649,287993,1,"FLICKINGER FINE WINE, INC.",FLICKINGER FINE WINE,1600 S STEWART AVE 5TH & BSMT,CHICAGO,IL,60616,11,6,11-6,12,1474,Package Goods,774,Retail Sales of Packaged Liquor,1577540,RENEW,,04/15/2020,05/28/2020,N,06/16/2020,06/15/2022,05/28/2020,05/29/2020,AAI,,,41.85997721,-87.637946169,POINT (-87.63794616945249 41.859977210463654)
2446655-20200616,2727230,403855,1,"PARI & MITRA, INC.",7-ELEVEN # 33779 C,2900 W MONTROSE AVE,CHICAGO,IL,60618,33,24,33-24,17,1474,Package Goods,774,Retail Sales of Packaged Liquor,2446655,RENEW,,04/15/2020,05/25/2020,N,06/16/2020,06/15/2022,05/25/2020,06/05/2020,AAI,,60,41.961343153,-87.700972982,POINT (-87.70097298218666 41.961343153284)
2663889-20210816,2795863,427446,2,PEAR LLC,PEAR CHEF,2300 S DR MARTIN LUTHER KING JR DR 1,CHICAGO,IL,60616,4,6,4-6,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,2663889,RENEW,,06/15/2021,07/03/2021,N,08/16/2021,06/15/2022,07/03/2021,07/06/2021,AAI,,,41.851187064,-87.619112611,POINT (-87.61911261124212 41.851187063739125)
2309124-20200616,2726839,388168,1,PETE'S FRESH MARKET MADISON CORPORATION,PETES FRESH MARKET #10,2333 W MADISON ST,CHICAGO,IL,60612,27,53,27-53,12,1474,Package Goods,774,Retail Sales of Packaged Liquor,2309124,RENEW,,04/15/2020,06/17/2020,N,06/16/2020,06/15/2022,06/17/2020,06/18/2020,AAI,,,41.881069374,-87.685307553,POINT (-87.68530755272025 41.88106937422222)
8659-20200616,2723997,4134,1,GNS FOODS INC,GNS MARKET,4092 N BROADWAY,CHICAGO,IL,60613,46,10,46-10,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,8659,RENEW,,04/15/2020,07/21/2020,N,06/16/2020,06/15/2022,07/21/2020,07/22/2020,AAI,,34,41.956893959,-87.652199608,POINT (-87.65219960782937 41.95689395895683)
74670-20200616,2724416,22284,1,"LAKEVIEW FOOD PANTRY, INC.",LAKEVIEW FOOD PANTRY,733 W SHERIDAN RD  1,CHICAGO,IL,60613,46,5,46-5,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,74670,RENEW,,04/15/2020,06/09/2020,N,06/16/2020,06/15/2022,06/09/2020,06/10/2020,AAI,,18,41.952655828,-87.649236764,POINT (-87.64923676391535 41.95265582797599)
1965091-20200616,2726152,342517,1,"CHINA PLACE LIQUOR CITY, INC.",CHINA PLACE LIQUOR CITY,2105 S CHINA PL 1ST A,CHICAGO,IL,60616,11,16,11-16,9,1474,Package Goods,774,Retail Sales of Packaged Liquor,1965091,RENEW,,04/15/2020,06/25/2020,N,06/16/2020,06/15/2022,06/25/2020,06/26/2020,AAI,,,41.854071994,-87.634127942,POINT (-87.63412794185544 41.85407199406138)
2120334-20200616,2726470,366607,1,VISHNA CLARK INCORPORATED,NORTH SHORE FOOD & LIQUOR,6703 N CLARK ST 1,CHICAGO,IL,60626,49,28,49-28,24,1474,Package Goods,774,Retail Sales of Packaged Liquor,2120334,RENEW,,04/15/2020,04/29/2020,N,06/16/2020,06/15/2022,04/29/2020,06/05/2020,AAI,,24,42.003646529,-87.672372559,POINT (-87.67237255895857 42.003646528550505)
24280-20200616,2724085,9830,1,"MADHAV, INC.",3600 COMMISSARY,3600 N LAKE SHORE DR 1ST,CHICAGO,IL,60613,46,19,46-19,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,24280,RENEW,,04/15/2020,05/09/2020,N,06/16/2020,06/15/2022,05/09/2020,07/23/2020,AAI,,,41.948683674,-87.643649759,POINT (-87.64364975850548 41.94868367437477)
1893130-20200616,2725937,328708,1,"THE BEVERAGE SHOPPE, LLC",KIMBARK BEVERAGE SHOPPE,1214 E 53RD ST 1,CHICAGO,IL,60615,4,1,4-1,2,1474,Package Goods,774,Retail Sales of Packaged Liquor,1893130,RENEW,,04/15/2020,09/15/2021,N,06/16/2020,06/15/2022,09/15/2021,09/15/2021,AAI,,61,41.799572329,-87.595997332,POINT (-87.59599733192523 41.79957232946104)
2013368-20200616,2726226,348287,1,"JNL ENTERPRISES II, LLC",WOODS FOOD & LIQUOR,200 E 35TH ST,CHICAGO,IL,60616,3,5,3-5,2,1474,Package Goods,774,Retail Sales of Packaged Liquor,2013368,RENEW,,04/15/2020,05/26/2020,N,06/16/2020,06/15/2022,05/26/2020,10/29/2020,AAI,,,41.831169482,-87.621705209,POINT (-87.62170520883589 41.831169482324235)
34712-20200616,2724195,14901,1,NIZARALI & FATEMAH LADHANI INC,SEVEN ELEVEN,1425 W MONTROSE AVE,CHICAGO,IL,60613,46,27,46-27,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,34712,RENEW,,04/15/2020,06/05/2020,N,06/16/2020,06/15/2022,06/05/2020,06/05/2020,AAI,,,41.96152548,-87.6659003,POINT (-87.6659002996742 41.96152548013082)
2569919-20200616,2727551,423553,1,"CHULBUL PANDEY, INC.",LIQUOR EXPO,2154 N HALSTED ST 1,CHICAGO,IL,60614,43,41,43-41,18,1474,Package Goods,774,Retail Sales of Packaged Liquor,2569919,RENEW,,04/15/2020,04/20/2020,N,06/16/2020,06/15/2022,04/20/2020,07/14/2020,AAI,,,41.921610478,-87.648773916,POINT (-87.64877391597621 41.92161047828717)
1592122-20200616,2725115,211718,3,TRADER JOE'S EAST INC.,TRADER JOE'S EAST,44 E ONTARIO ST,CHICAGO,IL,60611,42,22,42-22,18,1474,Package Goods,774,Retail Sales of Packaged Liquor,1592122,RENEW,,04/15/2020,05/21/2020,N,06/16/2020,06/15/2022,05/21/2020,05/22/2020,AAI,,,41.89340802,-87.626437743,POINT (-87.6264377426347 41.89340802039415)
1803593-20200616,2725785,314995,1,"HYDE PARK FOOD & LIQUOR, INC.",HYDE PARK FOOD & LIQUOR,126-128 E 51ST ST 1,CHICAGO,IL,60615,3,40,3-40,2,1474,Package Goods,774,Retail Sales of Packaged Liquor,1803593,RENEW,,04/15/2020,08/04/2020,N,06/16/2020,06/15/2022,08/04/2020,08/05/2020,AAI,,52,41.802130543,-87.621385079,POINT (-87.62138507912012 41.802130542925866)
29516-20200616,2724182,11687,1,CLARENDON FOOD MART INC,CLARENDON FOOD MART INC,4183-4185 N CLARENDON AVE 1ST,CHICAGO,IL,60613,46,45,46-45,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,29516,RENEW,,04/15/2020,09/24/2021,N,06/16/2020,06/15/2022,09/24/2021,09/27/2021,AAI,,,41.958004801,-87.649653736,POINT (-87.6496537355801 41.958004801468064)
1116-20200616,2723945,212,1,LAKE SHORE COMMISSARY,LAKE SHORE COMMISSARY,3950 N LAKE SHORE DR,CHICAGO,IL,60613,46,30,46-30,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,1116,RENEW,,04/15/2020,05/12/2020,N,06/16/2020,06/15/2022,05/12/2020,05/13/2020,AAI,,,41.954344719,-87.645349621,POINT (-87.6453496205995 41.95434471865204)
48602-20200616,2724261,17042,1,MONTROSE LIQUORS INC.,RAYAN'S DISCOUNT LIQUORS,1532 W MONTROSE AVE 1ST,CHICAGO,IL,60613,47,41,47-41,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,48602,RENEW,,04/15/2020,06/03/2020,N,06/16/2020,06/15/2022,06/03/2020,06/05/2020,AAI,,31,41.961702452,-87.669184474,POINT (-87.66918447446274 41.96170245207007)
35063-20200616,2724198,14984,2,"LA SULTANA, INC.",BEST BUY FOOD & LIQUOR,1832 W MONTROSE AVE 1ST,CHICAGO,IL,60613,47,10,47-10,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,35063,RENEW,,04/15/2020,05/31/2020,N,06/16/2020,06/15/2022,05/31/2020,06/05/2020,AAI,,31,41.961606919,-87.675891297,POINT (-87.6758912971698 41.96160691858219)
20504-20200616,2724060,8329,1,"PARK PLACE MARKET, INC.",PARK MARKET FOODS,3949 N PINE GROVE AVE 1,CHICAGO,IL,60613,46,18,46-18,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,20504,RENEW,,04/15/2020,06/15/2020,N,06/16/2020,06/15/2022,06/15/2020,06/17/2020,AAI,,,41.954283393,-87.647782585,POINT (-87.64778258472806 41.95428339275127)
2423626-20200616,2726474,367557,2,REVOLUTION BEER LLC,REVOLUTION BEER,3340 N KEDZIE AVE,CHICAGO,IL,60618,35,24,35-24,17,1474,Package Goods,774,Retail Sales of Packaged Liquor,2423626,RENEW,,04/15/2020,05/11/2020,N,06/16/2020,06/15/2022,05/11/2020,05/13/2020,AAI,,,41.94217262,-87.70784755,POINT (-87.7078475502974 41.942172620379935)
2704204-20200521,2704204,464900,1,611 S WELLS LLC,Wells Pantry,611 S WELLS ST,CHICAGO,IL,60607,34,21,34-21,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,2704204,ISSUE,12/06/2019,02/04/2020,01/16/2020,Y,05/21/2020,06/15/2022,05/21/2020,05/21/2020,AAI,,,41.874242987,-87.63347653,POINT (-87.63347653027343 41.874242987183976)
2350493-20200616,2726192,347461,7,"COMMONWEALTH VENTURES, LLC",FOUNTAINHEAD MARKET,1966 W MONTROSE AVE 1,CHICAGO,IL,60613,47,10,47-10,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,2350493,RENEW,,04/15/2020,06/10/2020,N,06/16/2020,06/15/2022,06/10/2020,06/10/2020,AAI,,31,41.961571669,-87.678711952,POINT (-87.67871195228508 41.96157166909007)
2138678-20200616,2726490,369822,1,GOVINDAM INC.,MISKAS LIQUORS,6410-6416 W 63RD ST,CHICAGO,IL,60638,13,22,13-22,8,1474,Package Goods,774,Retail Sales of Packaged Liquor,2138678,RENEW,,04/15/2020,05/23/2020,N,06/16/2020,06/15/2022,05/23/2020,05/28/2020,AAI,,,41.777778359,-87.781786942,POINT (-87.78178694228211 41.777778359158)
1224660-20200616,2725262,242859,1,"MIC-MAC, INC.",NEW YORK MARKET,3660 N LAKE SHORE DR,CHICAGO,IL,60613,46,13,46-13,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,1224660,RENEW,,04/15/2020,12/16/2020,N,06/16/2020,06/15/2022,12/16/2020,12/17/2020,AAI,,,41.950172565,-87.644548158,POINT (-87.6445481581548 41.95017256462572)
2327226-20200616,2726846,389169,1,"PHEIDIAS, INC.","DELI BOUTIQUE, WINE AND SPIRITS",2318 N CLARK ST,CHICAGO,IL,60614,43,58,43-58,18,1474,Package Goods,774,Retail Sales of Packaged Liquor,2327226,RENEW,,04/15/2020,05/13/2020,N,06/16/2020,06/15/2022,05/13/2020,05/14/2020,AAI,,23,41.924249821,-87.639815939,POINT (-87.63981593894823 41.924249820611024)
1489366-20200616,2725515,275125,1,EAST LAKEVIEW FOOD & LIQUOR INC.,EAST LAKEVIEW FOOD & LIQUOR,3814 N CLARK ST,CHICAGO,IL,60613,44,50,44-50,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,1489366,RENEW,,04/15/2020,06/09/2020,N,06/16/2020,06/15/2022,06/09/2020,06/10/2020,AAI,,17,41.951410456,-87.660068748,POINT (-87.66006874793833 41.95141045572555)
1473156-20200716,2729896,267566,1,ABBASCO FOOD & LIQUOR INC.,BANNER LIQUOR,10556-10558 S EWING AVE,CHICAGO,IL,60617,10,33,10-33,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,1473156,RENEW,,05/15/2020,06/11/2020,N,07/16/2020,07/15/2022,06/11/2020,06/12/2020,AAI,,,41.702881966,-87.535430426,POINT (-87.53543042630147 41.70288196597781)
2284771-20200716,2731217,384950,1,"MCN GROUP, LLC",GOOSEFOOT FOOD & WINE,2654 W LAWRENCE AVE 1ST,CHICAGO,IL,60625,40,6,40-6,20,1474,Package Goods,774,Retail Sales of Packaged Liquor,2284771,RENEW,,05/15/2020,06/10/2020,N,07/16/2020,07/15/2022,06/10/2020,06/11/2020,AAI,,21,41.968663586,-87.69602699,POINT (-87.69602698993899 41.96866358615273)
2698568-20200713,2698568,463820,1,"MIRZAPUR, INC",SKY'S BEVERAGE DEPOT,4635-37 N BROADWAY,CHICAGO,IL,60640,46,20,46-20,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,2698568,ISSUE,10/22/2019,02/28/2020,02/19/2020,Y,07/13/2020,07/15/2022,07/13/2020,07/13/2020,AAI,,34,41.966357682,-87.657921763,POINT (-87.65792176287823 41.96635768187446)
2718653-20200625,2718653,467312,1,"CHDG PHASE 1A1 SUB-LESSEE, LLC",HYATT HOUSE/HYATT PLACE AND FOOD CT,1835 W HARRISON ST,CHICAGO,IL,60612,27,10,27-10,12,1474,Package Goods,774,Retail Sales of Packaged Liquor,2718653,ISSUE,03/10/2020,03/17/2020,05/06/2020,N,06/25/2020,07/15/2022,06/25/2020,06/25/2020,AAI,,,41.873987953,-87.672997409,POINT (-87.67299740933659 41.87398795331432)
1969369-20200716,2730378,317101,1,"MANDIR, INC.",BUY LOW FOOD & LIQUOR,847-853 W 87TH ST 1,CHICAGO,IL,60620,21,6,21-6,22,1474,Package Goods,774,Retail Sales of Packaged Liquor,1969369,RENEW,,05/15/2020,06/25/2020,N,07/16/2020,07/15/2022,06/25/2020,07/01/2020,AAI,,,41.735939362,-87.645333175,POINT (-87.64533317498139 41.73593936167209)
84200-20200716,2729416,81178,1,"EWING LIQUORS, INC.",EWING LIQUORS,10459 S EWING AVE 1,CHICAGO,IL,60617,10,29,10-29,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,84200,RENEW,,05/15/2020,07/09/2020,N,07/16/2020,07/15/2022,07/09/2020,07/10/2020,AAI,,,41.704655817,-87.535138173,POINT (-87.5351381725916 41.70465581724394)
2678088-20200708,2678088,460616,1,"4884 S ARCHER INC.,",Ike's Liquors,4884 S ARCHER AVE 1,CHICAGO,IL,60632,14,13,14-13,8,1474,Package Goods,774,Retail Sales of Packaged Liquor,2678088,ISSUE,07/09/2019,10/18/2019,10/17/2019,N,07/08/2020,07/15/2022,07/08/2020,07/08/2020,AAI,,39,41.804621151,-87.719907065,POINT (-87.71990706549693 41.80462115059015)
26632-20200716,2728807,11069,1,LOPEZ LIQUORS LLC,LOPEZ'S LIQUORS,9700 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617,10,7,10-7,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,26632,RENEW,,05/15/2020,07/01/2020,N,07/16/2020,07/15/2022,07/01/2020,07/06/2020,AAI,,,41.719024188,-87.55117574,POINT (-87.5511757397381 41.71902418756446)
2542889-20200716,2731250,388019,2,THE LAGUNITAS BREWING COMPANY,LAGUNITAS BREWING COMPANY,1843 S WASHTENAW AVE 1-2,CHICAGO,IL,60608,24,7,24-7,10,1474,Package Goods,774,Retail Sales of Packaged Liquor,2542889,RENEW,,05/15/2020,06/02/2020,N,07/16/2020,07/15/2022,06/02/2020,06/12/2020,AAI,,,41.856210522,-87.692985032,POINT (-87.69298503222241 41.85621052154579)
10220-20200716,2728694,4584,1,"COLONY FOOD & LIQUOR, INC.","COLONY FOOD & LIQUOR, INC.",7555 S RACINE AVE,CHICAGO,IL,60620,17,22,17-22,6,1474,Package Goods,774,Retail Sales of Packaged Liquor,10220,RENEW,,05/15/2020,07/13/2020,N,07/16/2020,07/15/2022,07/13/2020,07/14/2020,AAI,,,41.75620288,-87.65374544,POINT (-87.6537454403711 41.75620288004727)
2621811-20210316,2770342,426559,1,DOUBLETREE MANAGEMENT LLC,DOUBLETREE BY HILTON CHICAGO - MAGNIFICENT MILE,300 E OHIO ST LL-26,CHICAGO,IL,60611,2,2,2-2,18,1474,Package Goods,774,Retail Sales of Packaged Liquor,2621811,RENEW,,01/15/2021,03/02/2021,N,03/16/2021,07/15/2022,03/02/2021,03/03/2021,AAI,,,41.892710585,-87.620130658,POINT (-87.62013065840584 41.892710584593935)
43040-20200716,2729460,86197,1,FOUR BROTHERS FOOD & LIQUOR INC,FOUR BROTHERS FOOD & LIQUOR INC,1711 W 79TH ST,CHICAGO,IL,60620,17,15,17-15,6,1474,Package Goods,774,Retail Sales of Packaged Liquor,43040,RENEW,,05/15/2020,07/16/2020,N,07/16/2020,07/15/2022,07/16/2020,07/17/2020,AAI,,,41.750211231,-87.666342428,POINT (-87.66634242788096 41.75021123096092)
49803-20200716,2728870,17222,1,"D&O FOOD & LIQUOR, INC.",D & O FOOD & LIQUOR,8700 S COMMERCIAL AVE,CHICAGO,IL,60617,10,43,10-43,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,49803,RENEW,,05/15/2020,07/08/2020,N,07/16/2020,07/15/2022,07/08/2020,10/06/2020,AAI,,5,41.737285572,-87.551575144,POINT (-87.55157514432739 41.73728557188973)
6338-20200716,2728677,3601,1,"AIDA'S FOOD & LIQUOR, INC.",AIDA FOOD & LIQUOR,7923 S HALSTED ST,CHICAGO,IL,60620,17,2,17-2,6,1474,Package Goods,774,Retail Sales of Packaged Liquor,6338,RENEW,,05/15/2020,06/04/2020,N,07/16/2020,07/15/2022,06/04/2020,06/05/2020,AAI,,32,41.749931458,-87.643877125,POINT (-87.643877125327 41.749931458226115)
15949-20200716,2728710,6794,1,"PRESTIGE HOYNE LIQUORS, INC.",PRESTIGE HOYNE LIQUOR,2043 W 79TH ST,CHICAGO,IL,60620,18,19,18-19,6,1474,Package Goods,774,Retail Sales of Packaged Liquor,15949,RENEW,,05/15/2020,06/23/2020,N,07/16/2020,07/15/2022,06/23/2020,06/24/2020,AAI,,,41.750101076,-87.674885204,POINT (-87.67488520394886 41.75010107633995)
1044372-20200716,2729525,203017,1,PERFECT CORPORATION,7-ELEVEN,10759 S EWING AVE 1,CHICAGO,IL,60617,10,28,10-28,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,1044372,RENEW,,05/15/2020,07/07/2020,N,07/16/2020,07/15/2022,07/07/2020,07/08/2020,AAI,,,41.699193601,-87.535134756,POINT (-87.5351347557681 41.69919360062641)
26983-20200716,2728811,11214,1,9300 FOOD & LIQUOR INC,9300 FOOD & LIQUOR INC,9300 S STONY ISLAND AVE,CHICAGO,IL,60617,8,12,8-12,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,26983,RENEW,,05/15/2020,07/13/2020,N,07/16/2020,07/15/2022,07/13/2020,07/14/2020,AAI,,50,41.7258881,-87.585558786,POINT (-87.58555878578707 41.72588809998874)
2114834-20200716,2730623,348226,2,"BUDDY'S WINE & SPIRITS, INC.",BUDDY'S FOOD WINE & SPIRITS,205 W 87TH ST 1ST 205-B,CHICAGO,IL,60620,21,53,21-53,6,1474,Package Goods,774,Retail Sales of Packaged Liquor,2114834,RENEW,,05/15/2020,06/24/2020,N,07/16/2020,07/15/2022,06/24/2020,06/25/2020,AAI,,,41.736030175,-87.629094509,POINT (-87.6290945085756 41.73603017519755)
17552-20200716,2728724,7109,1,"KEY FOOD & LIQUOR, INC.",KEY FOOD LIQUOR,13355 S INDIANA AVE,CHICAGO,IL,60827,9,26,9-26,5,1474,Package Goods,774,Retail Sales of Packaged Liquor,17552,RENEW,,05/15/2020,07/06/2020,N,07/16/2020,07/15/2022,07/06/2020,07/07/2020,AAI,,,41.651972819,-87.617083736,POINT (-87.61708373629855 41.65197281855635)
2447202-20200716,2731571,404108,1,ASHLAND MARKET INC.,ASHLAND MARKET,1051-1053 N ASHLAND AVE 1ST,CHICAGO,IL,60622,1,56,1-56,12,1474,Package Goods,774,Retail Sales of Packaged Liquor,2447202,RENEW,,05/15/2020,08/10/2020,N,07/16/2020,07/15/2022,08/10/2020,08/10/2020,AAI,,29,41.901192166,-87.667286725,POINT (-87.66728672525738 41.901192166337616)
1843221-20200716,2730230,300579,1,JOHN A. MARTINEZ,JOHN'S CORNER STORE,3425 E 106TH ST 1ST,CHICAGO,IL,60617,10,35,10-35,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,1843221,RENEW,,05/15/2020,06/28/2020,N,07/16/2020,07/15/2022,06/28/2020,06/29/2020,AAI,,,41.702644416,-87.540247492,POINT (-87.54024749218388 41.702644416247395)
38683-20200716,2728861,15670,1,"SAGINAW WINE & LIQUORS, INC.","SAGINAW WINE AND LIQUORS, INC.",2615 E 83RD ST,CHICAGO,IL,60617,7,21,7-21,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,38683,RENEW,,05/15/2020,07/07/2020,N,07/16/2020,07/15/2022,07/07/2020,07/08/2020,AAI,,,41.744425096,-87.560610044,POINT (-87.56061004382433 41.74442509646372)
1089-20200716,2728656,204,1,8810 CORPORATION,KENWOOD LIQUORS,8810 S STONY ISLAND AVE 1,CHICAGO,IL,60617,8,58,8-58,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,1089,RENEW,,05/15/2020,06/25/2020,N,07/16/2020,07/15/2022,06/25/2020,07/28/2020,AAI,,50,41.734719493,-87.585745035,POINT (-87.58574503461055 41.73471949269338)
2240056-20200716,2730985,372739,1,"AVADA, INC.",SUPER SAVINGS FOOD,4422-4424 W BELMONT AVE 1 1,CHICAGO,IL,60641,30,8,30-8,17,1474,Package Goods,774,Retail Sales of Packaged Liquor,2240056,RENEW,,05/15/2020,06/15/2020,N,07/16/2020,07/15/2022,06/15/2020,08/19/2020,AAI,,,41.939058595,-87.738036245,POINT (-87.73803624527831 41.93905859510254)
39320-20200716,2728849,14456,1,"KERFOOT FOOD & LIQUOR, INC.",KERFOOT FOOD AND LIQUOR,8462 S VINCENNES AVE  1,CHICAGO,IL,60620,21,37,21-37,6,1474,Package Goods,774,Retail Sales of Packaged Liquor,39320,RENEW,,05/15/2020,07/06/2020,N,07/16/2020,07/15/2022,07/06/2020,07/07/2020,AAI,,,41.740226411,-87.639441864,POINT (-87.63944186396674 41.74022641115339)
1303459-20200816,2733104,3470,2,"LAWN PHARMACY, INC.",EL PROGRESO,3937 W 31ST ST,CHICAGO,IL,60623,22,10,22-10,10,1474,Package Goods,774,Retail Sales of Packaged Liquor,1303459,RENEW,,06/15/2020,08/11/2020,N,08/16/2020,08/15/2022,08/11/2020,08/12/2020,AAI,,,41.836788483,-87.723356855,POINT (-87.7233568547893 41.83678848302045)
2458746-20200816,2736902,405480,1,"4138 N. MILWAUKEE AVENUE, INC.",PORTAGE PARK FOOD + SPIRITS,4138 N MILWAUKEE AVE 1ST,CHICAGO,IL,60641,45,13,45-13,16,1474,Package Goods,774,Retail Sales of Packaged Liquor,2458746,RENEW,,06/15/2020,07/28/2020,N,08/16/2020,08/15/2022,07/28/2020,10/14/2020,REV,09/13/2021,28,41.956167468,-87.750788279,POINT (-87.7507882794648 41.95616746829924)
2334142-20200816,2734581,213934,1,"HRH, L.L.C.",SPRINGHILL SUITES BY MARRIOTT,8101 W HIGGINS RD,CHICAGO,IL,60631,41,55,41-55,16,1474,Package Goods,774,Retail Sales of Packaged Liquor,2334142,RENEW,,06/15/2020,10/06/2020,N,08/16/2020,08/15/2022,10/06/2020,10/07/2020,AAI,,,41.985318073,-87.829818376,POINT (-87.82981837555997 41.98531807250436)
2134005-20200816,2736140,368673,1,AB FOOD AND LIQUOR INC,AB FOOD AND LIQUOR,7908-7910 S EXCHANGE AVE 1,CHICAGO,IL,60617,7,21,7-21,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,2134005,RENEW,,06/15/2020,09/17/2020,N,08/16/2020,08/15/2022,09/17/2020,09/21/2020,AAI,,49,41.751592514,-87.553040105,POINT (-87.55304010527124 41.751592514450195)
2368056-20200816,2736279,374142,1,"RACINE FOOD & GENERAL MERCHANDISE, INC.",RACINE FOOD & GENERAL MERCHANDISE,5500 S RACINE AVE 1ST,CHICAGO,IL,60636,16,15,16-15,7,1474,Package Goods,774,Retail Sales of Packaged Liquor,2368056,RENEW,,06/15/2020,07/14/2020,N,08/16/2020,08/15/2022,07/14/2020,07/15/2020,AAI,,,41.793727692,-87.655009983,POINT (-87.65500998289552 41.79372769225381)
2718270-20200805,2718270,465016,1,"DOORDASH ESSENTIALS, LLC",DashMart / The Corner Market by Caviar,1010 N HOOKER ST 1 101,CHICAGO,IL,60642,27,35,27-35,18,1474,Package Goods,774,Retail Sales of Packaged Liquor,2718270,ISSUE,03/03/2020,05/14/2020,05/14/2020,N,08/05/2020,08/15/2022,08/05/2020,08/05/2020,AAI,,,41.900407668,-87.648502939,POINT (-87.64850293891824 41.900407667864684)
513-20200816,2733051,92,1,"BROS. DRUGS & LIQUORS, INC.","BROS. DRUGS & LIQUORS, INC.",4201 W ROOSEVELT RD 1ST,CHICAGO,IL,60624,24,22,24-22,10,1474,Package Goods,774,Retail Sales of Packaged Liquor,513,RENEW,,06/15/2020,10/26/2020,N,08/16/2020,08/15/2022,10/26/2020,10/27/2020,AAI,,,41.865991141,-87.730122328,POINT (-87.73012232832801 41.865991141104736)
2570081-20200816,2737541,423641,1,MICHIGAN CERMAK INDIANA LLC,HAMPTON INN / HILTON GARDEN INN / HOME 2 SUITES,123 E CERMAK RD 1-22,CHICAGO,IL,60616,3,17,3-17,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,2570081,RENEW,,06/15/2020,07/30/2021,N,08/16/2020,08/15/2022,10/22/2020,08/02/2021,AAI,,,41.852774163,-87.622758847,POINT (-87.6227588470712 41.85277416294525)
8477-20200816,2733141,4083,1,"MACIAS ENTERPRISES, INC.",CARNICERIA AGUASCALIENTES,3132 W 26TH ST 1,CHICAGO,IL,60623,25,15,25-15,10,1474,Package Goods,774,Retail Sales of Packaged Liquor,8477,RENEW,,06/15/2020,10/14/2020,N,08/16/2020,08/15/2022,10/14/2020,10/15/2020,AAI,,25,41.844640004,-87.70387455,POINT (-87.70387454997125 41.84464000358168)
49310-20200816,2733592,17157,1,"Z.S.N., INC.","Z.S.N., INC.",22 N PULASKI RD 1ST,CHICAGO,IL,60624,28,28,28-28,11,1474,Package Goods,774,Retail Sales of Packaged Liquor,49310,RENEW,,06/15/2020,08/10/2020,N,08/16/2020,08/15/2022,08/10/2020,08/11/2020,AAI,,,41.881359074,-87.725833322,POINT (-87.72583332193682 41.88135907441011)
